date,open,high,low,close,volume
2024-02-05,2301.23,2420.45,2228.18,2345.98,1076708
2024-02-06,2337.29,2448.52,2270.54,2380.54,1362710
2024-02-07,2383.36,2458.07,2355.33,2429.5,1228351
2024-02-08,2421.5,2546.7,2395.83,2519.98,1164396
2024-02-09,2527.56,2690.56,2423.97,2584.63,691869
2024-02-10,2585.04,2689.48,2498.29,2602.16,809005
2024-02-11,2596.84,2621.79,2538.4,2563.03,1014018
2024-02-12,2556.4,2708.5,2504.25,2654.36,910976
2024-02-13,2637.74,2830.75,2614.43,2805.96,1568903
2024-02-14,2815.78,2898.6,2745.0,2827.52,1241772
2024-02-15,2840.89,2864.75,2722.02,2745.08,708031
2024-02-16,2743.2,2824.96,2718.78,2800.04,657435
2024-02-17,2804.95,2878.94,2751.31,2824.92,871571
2024-02-18,2792.8,2922.08,2749.43,2877.4,998737
2024-02-19,2876.66,2959.38,2814.01,2896.31,929053
2024-02-20,2896.77,2959.97,2843.55,2906.57,547366
2024-02-21,2923.57,2964.24,2875.69,2916.26,817569
2024-02-22,2929.53,3059.85,2876.63,3005.57,1178289
2024-02-23,2989.74,3077.58,2931.7,3018.98,1160442
2024-02-24,3007.28,3183.7,2935.62,3109.6,1357830
2024-02-25,3106.67,3185.61,3031.08,3109.95,955329
2024-02-26,3117.37,3276.89,3042.92,3200.46,1124860
2024-02-27,3189.74,3415.3,3080.82,3302.53,870217
2024-02-28,3308.12,3392.19,3247.86,3331.49,687189
2024-02-29,3314.19,3361.01,3207.63,3253.6,995450
2024-03-01,3247.52,3343.69,3221.75,3317.37,1454810
2024-03-02,3325.37,3557.9,3202.82,3431.44,1071448
2024-03-03,3436.72,3555.03,3358.9,3476.32,1285905
2024-03-04,3481.74,3588.77,3456.81,3563.25,1293569
2024-03-05,3562.61,3639.05,3513.46,3589.53,1463674
2024-03-06,3584.7,3777.18,3434.43,3625.2,900285
2024-03-07,3591.05,3954.24,3490.08,3846.1,544195
2024-03-08,3867.93,3906.11,3796.32,3834.16,808974
2024-03-09,3850.95,4075.57,3732.07,3953.52,586405
2024-03-10,3948.83,4016.62,3834.08,3901.05,582729
2024-03-11,3901.73,4019.27,3806.95,3923.95,583746
2024-03-12,3918.94,4009.41,3848.93,3939.04,1472207
2024-03-13,3944.55,4129.83,3806.36,3990.05,841986
2024-03-14,3992.61,4158.02,3954.62,4118.83,1451234
2024-03-15,4100.37,4137.12,4061.05,4097.78,1416762
2024-03-16,4097.67,4231.03,3971.08,4104.24,959395
2024-03-17,4130.02,4167.95,4027.16,4064.48,880928
2024-03-18,4042.88,4239.2,3728.72,3919.03,1579741
2024-03-19,3934.52,4005.63,3776.89,3846.41,667644
2024-03-20,3842.22,3959.33,3759.25,3875.64,1548232
2024-03-21,3860.77,4059.86,3735.86,3932.62,598395
2024-03-22,3910.4,4013.34,3677.21,3776.63,1061120
2024-03-23,3753.2,3788.37,3703.84,3738.87,787347
2024-03-24,3733.63,3833.55,3667.23,3766.57,897348
2024-03-25,3775.22,3832.24,3700.62,3757.37,1188371
2024-03-26,3750.57,3856.03,3635.49,3740.68,1026090
2024-03-27,3751.01,3806.3,3690.42,3745.62,1103975
2024-03-28,3757.75,3867.61,3566.01,3673.41,1566895
2024-03-29,3689.85,3753.28,3542.71,3604.69,1117320
2024-03-30,3591.86,3774.48,3379.46,3560.48,861734
2024-03-31,3587.96,3740.6,3370.6,3520.36,953743
2024-04-01,3511.52,3585.49,3420.15,3493.74,1291106
2024-04-02,3468.02,3526.63,3439.7,3498.06,1470531
2024-04-03,3496.23,3546.97,3462.27,3512.85,1000348
2024-04-04,3527.04,3583.15,3451.9,3507.69,860103
2024-04-05,3506.31,3711.9,3379.53,3582.38,942770
2024-04-06,3586.03,3690.64,3551.92,3655.86,1151115
2024-04-07,3669.54,3781.31,3509.51,3619.76,999999
2024-04-08,3635.71,3673.63,3606.36,3644.21,1079809
2024-04-09,3644.23,3736.35,3508.38,3599.37,833849
2024-04-10,3601.67,3677.5,3503.2,3578.54,1464588
2024-04-11,3571.6,3624.56,3476.92,3529.25,456142
2024-04-12,3536.29,3595.56,3433.21,3491.74,978001
2024-04-13,3482.76,3531.37,3393.33,3441.37,883680
2024-04-14,3450.45,3530.72,3370.13,3450.4,830715
2024-04-15,3461.7,3501.64,3376.61,3416.02,771156
2024-04-16,3431.89,3490.35,3259.32,3315.8,903090
2024-04-17,3309.35,3469.96,3254.69,3413.58,634038
2024-04-18,3400.68,3541.89,3325.29,3465.08,1106386
2024-04-19,3460.98,3489.15,3404.26,3432.2,884509
2024-04-20,3419.07,3507.32,3315.67,3403.52,1092905
2024-04-21,3396.58,3483.39,3256.44,3341.85,758529
2024-04-22,3354.48,3393.79,3312.69,3351.97,1052860
2024-04-23,3372.58,3485.7,3193.34,3304.16,1231391
2024-04-24,3302.82,3338.61,3282.26,3317.96,1121180
2024-04-25,3335.64,3411.81,3132.66,3205.87,564324
2024-04-26,3209.58,3288.17,3061.65,3138.49,619226
2024-04-27,3138.61,3160.56,3036.96,3058.35,1118094
2024-04-28,3070.75,3116.24,2972.69,3017.39,983146
2024-04-29,3021.7,3052.52,2979.16,3009.86,1182502
2024-04-30,3003.93,3063.31,2977.19,3036.29,1227673
2024-05-01,3018.45,3126.41,2942.99,3050.15,862368
2024-05-02,3056.96,3143.93,2993.67,3080.16,851008
2024-05-03,3085.78,3172.48,2905.13,2989.11,813499
2024-05-04,3011.32,3175.12,2909.96,3071.72,724354
2024-05-05,3106.12,3145.97,3047.1,3086.7,1435305
2024-05-06,3076.17,3131.7,3039.6,3094.91,817613
2024-05-07,3102.73,3181.61,3047.89,3126.35,766217
2024-05-08,3103.7,3195.07,3069.84,3160.59,413143
2024-05-09,3156.53,3376.7,3085.75,3302.63,1255001
2024-05-10,3303.42,3410.49,3265.8,3372.08,1096318
2024-05-11,3375.53,3434.81,3209.07,3266.44,847458
2024-05-12,3262.53,3359.72,3234.85,3331.46,1492628
2024-05-13,3332.81,3465.54,3263.29,3394.73,995965
2024-05-14,3394.83,3588.61,3333.67,3525.1,875955
2024-05-15,3505.77,3614.97,3431.24,3539.71,929283
2024-05-16,3529.39,3670.86,3391.36,3532.71,1232742
2024-05-17,3550.53,3702.82,3478.91,3629.61,753899
2024-05-18,3639.9,3687.5,3602.2,3649.7,1115073
2024-05-19,3657.01,3892.87,3554.32,3786.55,805906
2024-05-20,3791.56,3919.54,3757.24,3884.38,895896
2024-05-21,3862.97,3997.98,3643.27,3775.21,1075894
2024-05-22,3764.45,3818.24,3659.04,3712.08,1380101
2024-05-23,3728.08,3844.92,3557.38,3672.48,1177580
2024-05-24,3685.48,3728.93,3567.69,3610.26,712847
2024-05-25,3604.35,3718.33,3541.13,3654.24,912322
2024-05-26,3642.92,3744.89,3562.36,3663.86,918794
2024-05-27,3693.48,3741.85,3646.22,3694.58,1226127
2024-05-28,3674.87,3701.55,3631.77,3658.33,931638
2024-05-29,3676.47,3909.41,3518.9,3748.74,976186
2024-05-30,3756.91,3858.81,3722.52,3823.8,1315042
2024-05-31,3815.79,3894.02,3719.93,3797.79,1230311
2024-06-01,3825.59,3910.14,3774.9,3859.01,823461
2024-06-02,3855.23,3921.6,3785.87,3852.19,762565
2024-06-03,3846.56,3906.78,3729.16,3788.48,1550911
2024-06-04,3802.39,3893.95,3603.91,3692.83,1302614
2024-06-05,3684.36,3874.49,3592.01,3779.74,1435580
2024-06-06,3770.74,3796.63,3707.02,3732.65,1361752
2024-06-07,3744.09,3935.35,3577.99,3768.19,1159481
2024-06-08,3780.81,3886.34,3664.72,3769.94,1247340
2024-06-09,3783.81,3919.7,3608.46,3742.88,586187
2024-06-10,3752.07,3818.83,3689.81,3756.5,872384
2024-06-11,3763.36,3796.82,3638.24,3670.88,1090309
2024-06-12,3679.39,3740.95,3647.31,3708.61,1078248
2024-06-13,3689.37,3727.19,3631.74,3669.35,1075518
2024-06-14,3669.46,3794.69,3506.68,3630.58,528728
2024-06-15,3635.87,3679.53,3583.51,3627.06,1643450
2024-06-16,3630.25,3732.66,3430.41,3529.99,1303152
2024-06-17,3524.63,3675.98,3464.22,3614.03,817077
2024-06-18,3596.64,3649.78,3454.41,3506.21,1154216
2024-06-19,3524.05,3628.41,3347.41,3449.57,1312295
2024-06-20,3448.35,3500.63,3289.74,3340.39,1116873
2024-06-21,3351.83,3464.04,3194.12,3304.75,1095930
2024-06-22,3299.8,3491.1,3108.36,3299.64,957034
2024-06-23,3304.09,3371.35,3147.62,3213.03,847950
2024-06-24,3217.09,3345.48,3160.81,3287.96,1547062
2024-06-25,3299.57,3369.6,3168.14,3236.83,857788
2024-06-26,3260.21,3304.96,3164.85,3208.9,1021555
2024-06-27,3212.1,3241.24,3109.18,3137.65,571202
2024-06-28,3149.75,3208.52,3122.55,3181.06,1661041
2024-06-29,3182.35,3244.07,3070.28,3131.0,711418
2024-06-30,3126.47,3305.49,3075.62,3252.59,1287451
2024-07-01,3247.57,3385.51,3159.9,3296.52,763788
2024-07-02,3314.84,3413.59,3230.56,3328.95,920588
2024-07-03,3326.05,3446.28,3241.12,3360.46,948591
2024-07-04,3367.73,3451.09,3320.27,3403.13,597394
2024-07-05,3416.96,3537.24,3382.43,3501.85,1066100
2024-07-06,3505.72,3589.89,3450.16,3533.89,1155406
2024-07-07,3511.84,3569.6,3434.61,3492.04,1131549
2024-07-08,3486.08,3618.99,3346.83,3479.49,663643
2024-07-09,3467.21,3729.14,3341.29,3598.46,1265853
2024-07-10,3598.06,3691.18,3402.63,3493.04,900453
2024-07-11,3493.87,3549.16,3422.0,3477.02,808077
2024-07-12,3496.47,3553.5,3455.42,3512.27,1011190
2024-07-13,3483.93,3572.59,3435.83,3523.93,1189610
2024-07-14,3531.72,3637.83,3509.1,3614.68,1026982
2024-07-15,3597.61,3669.91,3413.17,3483.17,596624
2024-07-16,3487.64,3515.93,3424.36,3452.36,1066255
2024-07-17,3456.28,3581.5,3358.22,3482.7,1047216
2024-07-18,3491.21,3657.08,3315.46,3480.83,854548
2024-07-19,3488.2,3566.36,3332.47,3408.85,891190
2024-07-20,3402.78,3488.75,3294.0,3379.38,1203083
2024-07-21,3380.86,3409.13,3344.02,3372.21,901414
2024-07-22,3372.68,3529.67,3263.89,3419.37,1032348
2024-07-23,3399.02,3475.09,3327.45,3403.43,626482
2024-07-24,3403.04,3453.9,3326.92,3377.4,900842
2024-07-25,3354.43,3455.84,3312.13,3412.81,863001
2024-07-26,3423.45,3525.57,3280.81,3381.68,1065206
2024-07-27,3406.55,3571.07,3142.23,3301.68,952078
2024-07-28,3315.56,3380.42,3183.81,3247.33,768244
2024-07-29,3267.72,3343.81,3233.89,3309.55,651352
2024-07-30,3326.76,3418.04,3095.93,3183.27,690023
2024-07-31,3194.57,3293.81,2987.06,3082.83,639486
2024-08-01,3093.14,3134.77,3028.46,3069.77,988686
2024-08-02,3062.78,3135.28,2876.81,2946.56,1270194
2024-08-03,2933.34,3018.79,2733.47,2815.49,1302106
2024-08-04,2814.6,2832.93,2769.93,2788.09,1421930
2024-08-05,2797.23,2861.99,2561.59,2622.29,1260339
2024-08-06,2613.17,2683.19,2565.17,2634.79,1620965
2024-08-07,2629.74,2647.02,2601.96,2619.17,1152450
2024-08-08,2612.16,2702.74,2479.93,2569.02,971026
2024-08-09,2576.59,2593.32,2554.64,2571.33,1031442
2024-08-10,2583.2,2619.95,2502.78,2538.9,932741
2024-08-11,2555.64,2666.56,2457.53,2567.98,841940
2024-08-12,2566.07,2599.07,2532.31,2565.3,761149
2024-08-13,2556.73,2628.86,2450.93,2522.09,794770
2024-08-14,2527.14,2594.57,2492.92,2559.91,946023
2024-08-15,2553.52,2613.66,2466.23,2525.71,1153012
